userName,score,at,content,translated_content,sentiment
Martinus Gultom,5,2023-07-07 15:07:27,"Untuk aplikasi nya sudah bagus, tapi tolong kedepannya di tambahin fitur seperti translate, save photo dan mode penghemat data. thanks","The application is already good, but in the future please add features such as translate, save photo and data saver mode. thanks",positive
AndraZero121,3,2023-07-06 03:48:53,"Di aplikasi ini masih terdapat bug yang sangatlah merusak aplikasi, yaitu dimana teks-teks disana saat digeser ke bawah atau atas malah memblok teks lainnya. Mohon untuk diperbaiki segera.","In this application there is still a bug which is very damaging to the application, namely where the text there when shifted down or up actually blocks other text. Please fix it immediately.",negative
hhmm,4,2023-07-07 10:30:30,"Pengalaman saya selama ini di hp oppo realme c2 OS 9.0 pas mode gelap bawaan dari realme nyala, aplikasi Threads ngebug dengan tampilan menumpuk dan berulang terus. Namun setelah mode gelap bawaan realme saya matikan aplikasi Threads dapat berjalan dengan normal.","My experience so far on the Oppo Realme C2 OS 9.0 cellphone is that when the default dark mode on the Realme is on, the Threads application is buggy with displays stacking and repeating over and over again. However, after turning off Realme's default dark mode, the Threads application can run normally.",negative
Agip Dwijayanto,5,2023-11-14 16:12:20,"Bintang 5 untuk devolevernya agar semangat ngembangin apk ini... Belum bisa menilai bagus atau engga nya untuk apk ini karna masih terbilang baru rillis masih bnyak yg harus diperbaiki terutama dari segi bugnya dan untuk para pengguna tolonglah jngan banyak mengeluh wajar banyak masalah di apk ini ,karna baru aja rillis gw yakin kedepannya apk ini pasti jadi trend","5 stars for Devolever to be enthusiastic about developing this apk... I can't judge whether this apk is good or not because it's still relatively new, there's still a lot that needs to be fixed, especially in terms of bugs, and for users, please don't complain too much, it's natural that there are a lot of problems with this apk. Because it's just been released, I'm sure that in the future this APK will definitely become a trend",positive
Abui Len,3,2023-07-11 09:12:47,"Aplikasinya sudah bagus cuma ada yang kurang saran saya sih berikan beberapa fitur yang lain seperti translate, dan untuk menyimpan gambar ataupun vidio yang paling penting sih translate nya aja min. -salah satu pengguna treads :)","The application is good, but there are some things that are lacking. My suggestion is to provide several other features, such as translation, and for saving images or videos, the most important thing is to just translate, min. -one of the treads users :)",positive
Ristella Cinere,3,2023-07-09 03:02:41,"Nggak terlalu mirip sama si burung. Aku butuh fitur semacam translate, tagar, pokoknya yang persis si burung. Selain itu kayanya udah oke. Oh iya, tolong tambahin fitur edit dong pas nge threads. Biar kalau ada typo or something bisa diperbaiki. Mungkin kalau terlalu mirip bakal di cap plagiarisme ya? Idk but aku bener bener butuh fitur yang kusebutin diatas. Resolusi pas ngunggah foto juga tolong diperbaiki. Tq","Not too similar to the bird. I need features like translation, hashtags, basically the exact bird. Apart from that, it seems okay. Oh yes, please add an editing feature when posting threads. So that if there is a typo or something it can be corrected. Maybe if it's too similar it will be labeled plagiarism, right? Idk but I really need the features I mentioned above. Please also improve the resolution when uploading photos. Tq",positive
Nailah Kalbiyan,4,2023-07-07 17:27:43,Sebenarnya ini aplikasi dah bagus sih cuma kurang lengkap aja fitur-fitur nya salah satunya fitur terjemahan jadi agak susah kalo baca nya tulisan thailand harus ke google dulu😁 jadi saya harap bisa di tambahin fitur terjemahan yaa,"Actually, this application is good, but the features are not complete, one of which is the translation feature, so it's a bit difficult to read Thai writing, you have to go to Google first😁 so I hope the translation feature can be added.",positive
Rizky Trihasmoro,1,2023-07-06 13:29:50,"Saya mengalami Bug atau cuma di hp saya,ketika di buka app seperti langsung banyak halaman dan bertumpuk, saya tidak tahu ini kenapa,apa ada email yang bisa di kirim untuk konfirmasi bug","I'm experiencing a bug or just on my cellphone, when I open the app it immediately seems like there are lots of pages and they're piled up, I don't know why this is, is there an email that can be sent to confirm the bug",positive
VERO,2,2023-07-15 10:06:34,"Ini masih banyak kekurangan, 1. Tidak ada terjemahan padahal yang mengunakan berbagai negara. 2. Tidak bisa mengirim pesan. Catatan: jangan pernah ada iklan di threads supaya tidak menjengkelkan. Cukup Instagram yang banyak iklan threads jangan. Thank you:)","This still has many shortcomings, 1. There is no translation even though it uses various countries. 2. Cannot send messages. Note: never have ads in threads so they don't get annoying. Just Instagram, which has lots of ad threads, don't do it. Thank you :)",positive
RV,1,2023-07-07 12:45:42,"Tampilan interface berantakan banget, banyak mayor bug sampe males bukanya, ujung2nya apa? Balik lagi ke Twitter, tolong perbaiki dulu aplikasinya sebaik mungkin, baru gua stop main Twitter.","The interface is really messy, there are so many major bugs that you're lazy to open it, what's the end result? Back to Twitter, please fix the application as best as possible, then I'll stop playing Twitter.",positive
Rinanda Putra Kurniawan,3,2023-07-06 23:29:56,"Tolong perbaiki untuk update selanjutnya, terjadi bug tiba tiba keluar sendiri log out, dan Instagram saya juga tiba tiba keluar juga. Mohon untuk update selanjutnya diperbaiki agar tidak keluar sendiri akunnya","Please fix it for the next update, a bug occurred and it suddenly logged out by itself, and my Instagram also suddenly logged out too. Please fix it in the next update so that the account doesn't log out itself",positive
YAYAN DOMILANO,5,2023-07-06 12:56:47,Aplikasinya bagus.. Saya beri 5 bintang.. Tapi Harap Tambahkan beberapa fitur Seperti : – Save Gambar atau Video – Edit Postingan – Mode Gelap Dan masih ada Bug bug lainnya,The application is good.. I give 5 stars.. But please add some features such as: - Save images or videos - Edit posts - Dark mode And there are still other bugs,positive
Rizky Aldi,5,2023-07-07 00:28:15,"Untuk sekarang masih minim fitur. seperti gak bisa save gambar/video, belum ad tagar, belum ada fitur translate dan masih ditemukan bug. Semoga kedepannya lebih di optimalkan","Currently there are still minimal features. like not being able to save images/videos, there are no hashtags yet, there is no translate feature and bugs are still being found. Hopefully in the future it will be further optimized",positive
Hadi Santoso,5,2023-08-05 14:55:21,Tambahin fitur translet bahasa dong. Bagi saya yang tidak mengerti bahasa asing untuk menikmati utasan orang lain yg pakai bahasa asing jadi tidak bisa! Nanti setelah ada fitur translet saya akan mengedit ulasan saya menjadi bintang 5. Mantap sudah di tambahan fitur nya⭐⭐⭐⭐⭐,"Please add a language translet feature. For me, who doesn't understand a foreign language, I can't enjoy the threads of other people who use foreign languages! Later, once there is a translet feature, I will edit my review to 5 stars. Great, the added feature is great⭐⭐⭐⭐⭐",positive
Aldi Nur Saputra,4,2023-07-07 08:12:53,Tolong tambahkan fitur edit ketika ingin mengupload media. Ketika saya ingin mengupload foto dan perlu ditambahakan kata-kata atau sticker maupun memotong ukuran foto itu belum tersedia. Jadi harus mengubahnya/menambahkan di luar aplikasi ini.,"Please add an edit feature when you want to upload media. When I want to upload a photo and need to add words or stickers or crop the size of the photo, it is not yet available. So have to change it/add it outside this application.",positive
Andy Januarta,5,2023-07-07 10:08:13,"tampilannya sangat simple, menarik dan karakter kalimatnya pun juga bisa 500-an per-kata. tapi masih ada 1 fitur yg belum diaktifkan yaitu setingan terjemahan bahasa dari berbagai negara di dunia.","The appearance is very simple, attractive and the sentence characters can also be up to 500 per word. But there is still 1 feature that has not been activated, namely the language translation settings for various countries in the world.",positive
Imam Jamaludin,1,2023-07-07 23:03:03,"upload gambar, 'thumbnail' nya buram semua hanya abu-abu.... saat refresh di tombol 'home' rekomendasi threads kebanyakan bahasanya bule... tambah susah lagi gak ada fitur terjemahan.","uploaded an image, the 'thumbnail' was blurry, everything was just gray... when I refreshed the 'home' button, most of the recommended threads were in Caucasian language... it was even more difficult, there was no translation feature.",negative
M. Sultan Alamsyah Nabil Akbar,2,2023-07-08 03:01:05,"Tolong diperbaiki bugnya,, masak setiap buka beranda dan status orang kok tiba-tiba suka keluar,, sekalian tolong tambah kan fitur terbaru dari fitur DM, Hastag, Trending Penerjemah dan Voice Note di setiap utas dan kolom komentar.","Please fix the bug, how come every time you open the homepage and people's status suddenly appears, please add the latest features such as DM, Hashtag, Trending Translator and Voice Note features in every thread and comments column.",positive
Mahmud Abbas,5,2023-07-07 09:16:58,"Aplikasinya bagus. tapi harus ditambahkan fitur dark mode, kirim pesan secara pribadi dengan teman, dan satu lagi tolong di update agar support di browser atau desktop komputer. Kan ada beberapa orang yang belum punya handphone","The application is good. but the dark mode feature must be added, sending messages privately with friends, and one more thing, please update it so that it supports browsers or computer desktops. There are some people who don't have cellphones",positive
M Tahir saputra,4,2023-07-07 07:31:09,"Sejauh ini cukup bagus tapi saranku mungkin bisa di tambahkan juga di pusat akun meta jadi bisa auto posting di 3 aplikasi sekaligus IG, Facebook, Threads Dan aplikasi ini belum tersedia mode gelap, jadi mungkin bisa di tambahkan, dan juga foto belum bisa di simpan atau di download secara langsung, serta masih ada beberapa bug yang munkin harus di perbaiki, itu saran dari saya sebagai user","So far it's pretty good, but my suggestion is maybe you can also add it to the meta account center so you can auto post in 3 applications at once, IG, Facebook, Threads. And this application doesn't have dark mode yet, so maybe you can add it, and also photos can't be saved or downloaded directly, and there are still some bugs that may need to be fixed, that's my advice as a user",negative
Muhamad Rifki Sumarna,4,2023-07-13 10:30:15,"Saya menemukan bug dimana saat melihat foto / video yang tampil di beranda maupun di akun orang lain, media tersebut tidak mau memperlihatkan gambar ataupun video padahal koneksi internet saya sangat teramat lancar.","I discovered a bug where when viewing photos/videos that appeared on the home page or on other people's accounts, the media would not show the images or videos even though my internet connection was very smooth.",negative
Gibran Khayru Rachman,3,2023-07-08 17:01:08,"kecewa karena ada bug , saat saya mengscroll kebawah dan keatas, tampilan beranda,tulisan, teks teks, poto, dll... seperti tampilan error, jadi saat di scroll teks/poto nya seperti tidak mau bergerak","disappointed because there is a bug, when I scroll down and up, the home page display, writing, text, photos, etc... looks like an error display, so when I scroll the text/photo doesn't seem to want to move",negative
Aergloo,4,2023-07-07 11:21:29,"gaesss tau kok masih pada bermasalah sama aplikasinya, gua juga.. notif berantakan, gabisa liat siapa yang belom follow atau udah follow.. tapi aplikasi ini kan baru launching jadi pastinya banyak masalahnya.. jadi doain aja di next update nanti, lebih baik dari yang ini.. kita tungguin aja update selanjutnya","guys, I don't know why I'm still having problems with the app, I do too... the notifications are messy, I can't see who hasn't followed or has followed... but this app has just been launched so there will definitely be lots of problems... so just pray for the next update, it's better than this one... let's just wait for the next update",positive
FREELANCE PROJECT,1,2023-07-10 06:24:45,"Saya menemukan bug di aplikasi ini, tidak ada menu keranjang kuningnya. Perlu banyak perbaikan karena biasa aja aplikasinya ga ada inovasinya, klo bisa aplikasinya yang menghasilkan uang juga bukan cuma dosa, jadilah meta bukan mata mata.","I found a bug in this application, there is no yellow basket menu. It needs a lot of improvement because usually the application doesn't have any innovation. If you can get an application that makes money, it's not just a sin, be a meta, not a spy.",positive
Lemorinn,3,2023-07-06 04:34:41,"Masih ada bug kayak kalau mau upload gambar force close padahal ukuran udah dikecilin, dan saran juga mungkin bisa ditambahkan fitur edit postingan ^_^","There are still bugs like if you want to upload a force close image even though the size has been reduced, and a suggestion might also be to add a post editing feature ^_^",positive
suhohyung,2,2023-07-07 08:07:03,"saat memosting foto banyak sekaligus, aplikasi tiba tiba keluar sendiri, dengan tulisan ""threads telah berhenti"". mohon untuk pihak aplikasi segera memperbaiki, terimakasih 🙏","When posting many photos at once, the application suddenly exits itself, with the words ""threads have stopped"". please fix the application immediately, thank you 🙏",positive
Dimas Adhitya M.,1,2023-07-23 00:07:48,"Thumbnail website tidak tampil. 👎 Padahal sebelumnya baik-baik saja. Pas mengetik, thumbnail awalnya tampil, tapi ketika diunggah, thumbnail berubah menjadi tidak tampil alias hanya berupa link.","Website thumbnails do not appear. 👎 Even though it was fine before. When typing, the thumbnail initially appears, but when uploaded, the thumbnail changes to not display, aka it's just a link.",positive
VR Lm,4,2023-07-26 14:04:38,"Bagus bnget, tpi masih banyak kekurangan nya kaya *Tiap ganti liat video, videonya otomatis ngeMUTE sendiri *harus ada fitur markah biar sesuatu yg kita suka tinggal nyari di markah biar gk repot nyari ngeslide di akun yg sudah banyak postingannya *Harus ada fitur simpan ke galeri bagusnya buat video dan gambar juga","It's really good, but there are still lots of flaws *Every time you watch a video, the video automatically mutes itself Nice gallery for videos and images too",positive
シンShin,2,2023-07-06 15:38:43,Ini kenapa dah baru beberapa jam make aplikasi ini pas lagi milih photo dan klik selesai aplikasinya tiba-tiba keluar sendiri... Jadi susah untuk posting sesuatu,"This is why I've only been using this application for a few hours, when I select a photo and click finish, the application suddenly exits by itself... So it's hard to post something",negative
Yaqut Arsidinata,4,2023-07-08 11:50:47,"Aplikasi nya sangat bagus termasuk fitur² nya, tpi saya kasih segini dlu soalnya kualitas upload foto/video nya masih kurang bagus tidak seperti Instagram","The application is very good including its features, but I'll give it this much first because the quality of uploading photos/videos is still not as good, unlike Instagram.",positive
Muhammad Aldi Mauladi,4,2023-07-08 09:31:02,"tolong adain fitur baru yang menarik contohnya kaya bisa dengerin lagu bareng - bareng sama tmn, terus adain ""follow back"" biar ga capek ngecek satu2 !! fitur voice note sabi sih tp dibatasin waktuny. terakhir fitur DM . thank you !!","Please create new interesting features, for example, like being able to listen to songs together with your friends, and then have a ""follow back"" so you don't get tired of checking one by one!! Sabi's voice note feature is limited in time. finally the DM feature. thank you!!",positive
Anggun M K,3,2023-07-06 16:01:33,"Baru coba sih, ini gimana ya munculin lagi lencana threads yang disembunyikan biar bisa muncul lagi di profil ig? Udah di orak atik nggam bisa muncul lagii.. huuu","Just tried it, how do I make the hidden threads badge appear again so it can appear again on my IG profile? It's been scrambled and it can't appear again... huuu",negative
Malik Marzuki,2,2023-07-07 15:32:01,"Tambahkan fitur upload foto dan video langsung direkam tanpa harus dari folder file. Pisahkan antara yang aku following dengan akun rekomendasi, jangan di campur di beranda. Tambah fitur tampilkan akun di bio Instagram jika sudah terlanjur di sembunyikan.","Add a feature to upload photos and videos directly recorded without having to come from the file folder. Separate those I follow from recommended accounts, don't mix them on the homepage. Added feature to show account in Instagram bio if it has already been hidden.",positive
Mamah Damayanti,3,2023-07-09 01:54:33,"Lumayan bagus, mohon ditambahkan fitur: 1. Notifikasi followers tidak digabung 2. Bisa lihat following yang tidak followback 3. Schedule posting 4. Jumlah likes di profil seperti aplikasi TT 5. Search keyword untuk posting / trending","Pretty good, please add features: 1. Follower notifications are not combined 2. Can see following who don't follow back 3. Posting schedule 4. Number of likes on profiles like the TT application 5. Search keywords for posts / trending",positive
Rinipuha Handayani,4,2023-07-08 14:40:30,"Cukup baiksi menurutku, tp seharusnya no yang bisa ditampilkan di bio ig kalau sudah dihapus bisa dipasang kembali, jangan hanya sekali, tp maklum la ya baru awal, semoga bisa diperbaiki","That's quite good in my opinion, but the number that can be displayed in the IG bio should be able to be reinstalled if it's been deleted, not just once, but understand, it's just the beginning, hopefully it can be fixed",positive
Frilia,2,2023-07-07 06:24:32,Bagus ajasih. Mirip twtr pas baru2 launching. Tp blm bikin nyaman krn timeline nya kek tempat sampah. Gak bisa di filter.,That's good. It's similar to Twitter when it was just launched. But it doesn't make it comfortable because the timeline is like a trash can. Can't filter.,positive
Alizar,1,2023-07-13 17:11:25,Ini aplikasinya kenapa ya! padahal saya tidak ada follow orang tapi di notifikasi threads yang masuk ke saya kok saya bisa follow seseorang apakah memang seperti itukah? untuk loginnya juga menurut saya bisa di pisahkan saja kenapa harus di tautkan dgn aplikasi Instagram kenapa tidak di bikin login nya terpisah aja mungkin login nya bisa di buat menggunakan google atau kata sandi aja tersendiri? Jika mau menautkan aku Instagramnya mungkin bisa melalui pengaturan di aplikasi saja..,"Why is this the application? even though I don't follow anyone, but in the thread notifications that come to me, how come I can follow someone? Is that really how it is? In my opinion, you can also log in separately. Why does it have to be linked to the Instagram application? Why don't you just create a separate login? Maybe you can log in using Google or just a separate password? If you want to link me to Instagram, maybe you can just go through the settings in the application...",negative
Carent21,4,2023-07-07 11:51:07,"Bagus banget.. cuma tolong tambahkan fitur ""sematkan"" "" tagar"" dan bisa untuk banyak akun :).. ga cuma satu akun utama saja gitu sih:).. Kalo sudah ada aku kasih bintang 5.. yah dan saya tahu ini masih awal.. tapi ini sedikit saran dari saya.. dan banyak dari teman saya yang mengajukan yang seperti saya sarankan","Very good.. just please add the ""pin"" ""hashtag"" feature and it can be for many accounts :).. not just one main account like that :).. If it already exists I'll give it 5 stars.. yeah and I know it's still there beginning.. but this is a little suggestion from me.. and many of my friends have proposed things like I suggested",positive
Suryanas,1,2023-07-21 07:35:24,"Kita membutuhkan fitur terjemahan, dan juga fitur beralih akun, adain fitur hastag dan fitur download foto juga, semoga saran ini didengarkan agar ini aplikasi bisa semakin berkembang","We need a translation feature, as well as an account switching feature, a hashtag feature and a photo download feature too, I hope these suggestions are listened to so that this application can continue to develop",positive
Amirah Hasna,2,2023-07-06 15:10:28,"Rapihkan notifnya, beri fitur mana yang sudah follback mana yang belum, masih terdapat beberapa bug seperti tidak bisa update jumlah followers di profil (followers bertambah tapi keliatannya masih stuck disitu) & tidak bisa lihat followers / following orang lain","Tidy up the notifications, tell which features have been follbacked and which haven't, there are still several bugs such as not being able to update the number of followers on the profile (followers increase but still seem stuck there) & can't see other people's followers/following",negative
asyaif alfatah nur,3,2023-07-07 03:39:13,"Sudah bagus, vibesnya dan ui nya lebih baik dari twitter menurutku. fiturnya masih kurang lengkap misal fitur save atau tags masih belum ada. Agak susah pula kalau pindah akun dan akun yg sudah dibuat tidak bisa dihapus. Kalau untuk upload foto atau video saya belum mencoba tetapi dari pengamatan saya foto yang diupload di threads lebih tajam dan tidak terkena kompresi seperti di instagram. Jadi menurut saya untuk urusan upload foto threads ini sudah sangat bagus","It's good, the vibes and UI are better than Twitter in my opinion. The features are still incomplete, for example the save or tags feature is still missing. It's also a bit difficult to move accounts and accounts that have been created cannot be deleted. I haven't tried uploading photos or videos, but from my observations, photos uploaded in threads are sharper and not compressed like on Instagram. So in my opinion, for uploading photos, threads are very good.",positive
Kuin Kuin,1,2023-07-11 11:40:38,"Yuhuu baru instal, baru coba, langsung nge bug. Mau bikin postingan dg menambahkan foto, eh langsung keluar aplikasi. D perbaiki lagi yaaaa","Yuhuu just installed it, just tried it, immediately got a bug. Want to make a post by adding a photo, then immediately exit the application. D, fix it again",positive
Randi Pratama,4,2023-07-06 14:22:32,"Threads bagus bangetlah, selama ini saya gak ketemu konten NSFW apapun, namun size apk threads cukup berat dan buffering kontennya lama bgt, beda kyk Instagram, padahal ui nya lebih simple dari FB dan IG, sarannya cuma size dan audio meetingnya aja, mudah2an bisa membantu developer😊","Threads are really good, so far I haven't found any NSFW content, but the threads apk size is quite heavy and the content buffering takes a really long time, it's different from Instagram, even though the UI is simpler than FB and IG, the only suggestion is the size and meeting audio, hopefully this can help developer😊",positive
Agus Siswoyo,1,2023-07-07 13:32:41,"mohon bantuannya developer threads aku kok nge bug ya? si tulisan nya klo di geser atau di sentuh langsung kayak pada nyatu gitu, eror lah pokonya, wajar sih sebenernya masih baru juga, tapi punya temen2 gada yg gitu 😭","Please help, why is there a bug in my thread developer? If you swipe or touch the writing, it looks like it's coming together, there's an error, it's normal, actually it's still new, but I don't have friends like that 😭",positive
Endra Irawan,4,2023-07-08 16:12:03,"Ada bug mungkin hanya pengguna android saja yang mengalami, bug glich.. Padahal baru login dan baru 1 sentuhan scrol langsung tampilan nya nge-glich, Mohon diperbaiki dan mampu menjadi pengganti twitter","There is a bug, maybe only Android users experience it, the glitch bug... Even though you just logged in and just 1 touch of scrolling, the display glitches. Please fix it and be able to replace Twitter.",positive
Diah Ummatul Ravika,4,2023-07-13 13:51:06,"aplikasinya bagus, tapi akan lebih baik bisa diberikan fitur yang bisa ngeliat siapa yang gk follback kita, terus jangan terlalu dibatasi kegiatan kita seperti ngecek"" followers tiba"" eror gk bisa di cek lg hrus nunggu beberapa jam baru bisa baik lagi","The application is good, but it would be better if we could provide a feature that can see who hasn't followed us, and don't limit our activities too much, such as checking ""followers have arrived,"" the error can't be checked, you have to wait a few hours before it works again.",positive
Inno Putra,1,2023-07-06 17:10:22,Bug langsung di rasakan saat scrool untuk pertama kalinya. Text tidak mengikuti gerakan layar dia hanya diam dan membuat bayangan seperti fps. Dan terus tertumpuk saat membuka jendela lain.,"The bug was felt immediately when scrolling for the first time. The text doesn't follow the screen movement, it just stays still and makes shadows like fps. And it keeps stacking when opening another window.",positive
Kelvin HXW,3,2023-08-02 22:38:28,"Saat memutar video, suara selalu mati, tolong sediakan settingan agar bisa selalu dibuka, agar tidak perlu buka suara satu2 videonya","When playing a video, the sound is always turned off, please provide a setting so that it can always be opened, so that you don't need to open the sound for each video",positive
Jesenta Gunawan,1,2023-07-09 12:24:42,"Saya cuma mengkritik 1 hal, yaitu tolong diperbaiki lagi aplikasi ini, terutama bagian ""simpan"".. minimal bisa simpan foto postingan lah🙏🏼🙏🏼🙏🏼","I only criticize 1 thing, namely please improve this application, especially the ""save"" section.. at least you can save photos of posts🙏🏼🙏🏼🙏🏼",positive
Adi A Rahman,5,2023-07-07 10:45:37,Aplikasi yang bagus. Kompetitor aplikasi yg sangat kompetitif. Lebih mudah ketemu dengan teman2 karena ter integtitas langsung dengan medsos yang lainnya.,Great app. Very competitive application competitors. It's easier to meet friends because of direct integration with other social media.,positive
Yogi 1201,2,2023-07-18 16:11:37,"Ketika mencoba aplikasi baru, saya kira tidak perlu login dulu, apakah tiktok melakukannya.. saya kira tidak perlu mengunci seseorang dengam login ketika ini adiktif","When trying a new app, I don't think there's a need to log in first, does tiktok do that.. I don't think there's a need to lock someone in by logging in when it's addictive",negative
Alif Apriyadi,3,2023-07-24 17:59:32,"Sudah cukup bagus, akan lebih baik jika ada fitur terjemahan kedalam bahasa yang dapat di tentukan, dan terdapat seting dark mode dan sebagainya","It's quite good, it would be better if there was a translation feature into a language that could be specified, and there were dark mode settings and so on",positive
デフリザル,3,2023-07-06 05:24:45,"Sebenarnya ini aplikasi yang cukup bagus. Tapi alangkah baiknya mohon diperbaiki kembali. Dikarenakan adanya glitch yang cukup menggangu pada halaman beranda.. entah ini dari HP saya, atau memang dari kesalahan aplikasinya. Apabila seluruh aplikasi ini yang sudah terinstal tidak menemukan glitch yang sama seperti saya, what should i do for fixed this glitch?. Terimakasih atas perhatiannya..","It's actually a pretty good app. But it would be better to fix it again. Due to a glitch that is quite annoying on the home page... I don't know if this is from my cellphone, or whether it's an error in the application. If all the applications that have been installed do not find the same glitch as me, what should I do to fix this glitch? Thank you for your attention..",positive
Khalida Fikriyah,3,2023-07-06 06:22:22,"Sejauh ini cukup bagus. Aku kurang suka karena gak bisa melihat daftar orang yang kuikuti. Gak bisa cari topik yang kuminati juga di bagian pencarian. Saat aku cari Stray Kids misalnya, yang muncul cuma akun-akun terkait.","So far so good. I don't like it because I can't see the list of people I follow. Can't find topics I'm interested in in the search section either. When I search for Stray Kids, for example, only related accounts appear.",positive
Fifin Destian,2,2023-11-12 10:47:38,"Menurut ku, threads harus bikin fitur dm soalnya kalo cuma ngescroll isi nya doang ya lama lama jadi ngebosenin, awal awal menarik tapi lama kelamaan ya jadu ngebosenin soalnya isi nya cuman gitu gitu aja, gak ada fitur yang ngebuat woaah gitu, jadi saran ku aja, tolong adain fitur dm gitu","In my opinion, threads should have a dm feature because if you just scroll through the content it will get boring for a long time, at first it's interesting but after a while it gets boring because the content is just like that, there are no features that make you wow, so that's my suggestion. , please have a DM feature like that",positive
Diana Nefertari,4,2023-07-07 02:11:27,"untuk hari pertama udah okay sih. tapi emang ada beberapa fitur yg harus ditambah kayak fitur save/download foto, sematkan threads, DM, hastag biar bisa liat yg trending, multi acc, dan filter untuk kata-kata yang mau kita sembunyikan dari TL.","for the first day it was okay. But there are indeed several features that need to be added, such as the save/download photo feature, pin threads, DM, hashtags so you can see what's trending, multi acc, and filters for words that we want to hide from TL.",positive
Ayam Bakar,4,2023-07-06 07:11:39,"Udah Bagus, simple, mirip Twitter, cuman belum bisa cek Insight dan Multiply Account. Selain itu belum terdapat fitur Smart Search ataupun Hastag yang populer. Semoga segera ditambah","It's good, simple, similar to Twitter, but you can't check Insight and Multiply Accounts yet. Apart from that, there are no popular Smart Search or Hashtag features. Hopefully added soon",positive
Sanny Aprilia,5,2023-07-08 09:23:37,"Fiturnya tambahin, tampilannya ditambah biar makin menarik dan bervariasi. Terutama latar belakangnya jangan putih polos, kasih warna warni. Jadi ga bosenin... 🙏","Added features, added appearance to make it more interesting and varied. Especially don't make the background plain white, give it colorful colors. So you don't get bored... 🙏",positive
Elang Phlv,2,2023-07-11 04:30:55,"Masih ada bug,ketika saya ingin melakukan utas dan menambahkan foto itu tiba tiba force close,tolong segera diperbaiki!!","There is still a bug, when I want to thread and add a photo it suddenly forces close, please fix it immediately!!",positive
Khalid Alhamda V.R,5,2023-07-10 16:44:25,"Aplikasi baru rilis dan masih tahap pengembangan udah dibilang ""saya telah menemukan beberapa bug di aplikasi threads ini"" Ga semua aplikasi yang baru rilis udah beres semua tol. Pemograman ga semudah itung duit","Applications that have just been released and are still in the development stage have been told ""I have found several bugs in the application in this thread."" Not all newly released applications have all the tolls sorted. Programming is not as easy as making money",negative
Eddryan,4,2023-07-11 00:49:27,"Saya masih belum menemukan apa yang khas dari Threads? Saya menyarankan agar ada fitur trending, namun bukan fitur trending biasa. Fitur trending yang bisa tingkat nasional dan tingkat provinsi agar pengguna Threads semakin aktif membahas peristiwa terkini tidak hanya di tingkat nasional tapi juga tingkat provinsi. Selain itu font dan warna font, saya pikir hitamnya terlalu tebal jadi terlalu strong ketika dilihat, pemilihan font nya juga kurang tepat krn terlalu kaku.","I still haven't found what is unique about Threads? I suggest that there be a trending feature, but not an ordinary trending feature. The trending feature can be at the national and provincial levels so that Threads users become more active in discussing current events not only at the national level but also at the provincial level. Apart from that, the font and font color, I think the black is too thick so it's too strong when seen, the font choice is also not right because it's too stiff.",positive
Adriane Xanthe,5,2023-07-08 01:00:33,"Baguuss, tapi izin memberi masukan. Biskah di tambahkan fitur simpan postingan? Seperti koleksi atau apapun untuk menandai postingan yang kita sukai. Terimakasih sebelumnya. Saya suka dan puass hehe","That's great, but permission to give input. Can you add a save post feature? Like collections or anything to mark posts that we like. Thank you in advance. I like and am satisfied hehe",positive
WOKOAnimation,4,2023-07-06 01:39:25,"Fiturnya terbilang masih minim, tapi untuk tampilannya udah cukup bagus nan ringan. Namun, saya harap ke depannya fitur tagar dapat dimaksimalkan lagi.","The features are still minimal, but the appearance is quite good and light. However, I hope that in the future the hashtag feature can be maximized again.",positive
Ihfandi,5,2023-07-06 01:26:27,"Sejauh ini semua terlihat bagus, terintegrasi antar platform Meta. Khususnya IG & WA. Masukan pertama adalah menambahkan dukungan ikon Material You untuk Android. Saat yang tepat ketika Twitter goyang dikarenakan beberapa isu.","So far everything looks good, integrated across Meta platforms. Especially IG & WA. The first input is to add Material You icon support for Android. The exact moment when Twitter shook due to several issues.",positive
lutfi ardiyanto,1,2023-07-11 11:52:42,"Pertama kali log in langsung mengalami bug , tulisan tulisan tidak jelas , tampilan seperti layar handphone rusak , tolong cepat diperbaiki","The first time I logged in, I immediately experienced a bug, the writing was unclear, it looked like a broken cellphone screen, please fix it quickly",negative
Syauqinanram,1,2023-07-17 13:14:22,"Ini threads kenapa woyy😭 Di gue kok hari ketiganya gabisa post foto lagiii,,,padahal pas pertama mau ngepost foto fine fine aj...dari awal emang udah bingung sih mau download ini atau engga. Download ini juga terpaksa gegara bias ngepost di threads akhirnya ikutan. Pleasee buat developer nya perbaikiiiii cevattt gamau tau kalo sampe besok masih ngelag alamat hapus dah,,,","Why are these threads wow😭 For me, on the third day, I couldn't post any more photos... even though the first time I wanted to post fine and fine photos... from the start I was confused about whether to download this or not. I also had to download this because I was biased in posting in threads and finally joined in. Please make the developer fix it, don't know if until tomorrow the address is still lagging, delete it...",negative
